stock_name,stock_symbol,stock_price,stock_volume
       Yeti Holdings Inc      ,         YETI     ,       34.98      ,"       1,393,000      "
       Olin Corp      ,         OLN     ,       17.23      ,"       1,376,100      "
       Chimera Investment Corp      ,         CIM     ,       21.37      ,"       1,368,600      "
       Chemours Company      ,         CC     ,       17.62      ,"       1,348,900      "
       Signet Jewelers Ltd      ,         SIG     ,       20.99      ,"       1,344,600      "
       Cinemark Holdings Inc      ,         CNK     ,       33.99      ,"       1,323,100      "
       Lattice Semicond      ,         LSCC     ,       19.23      ,"       1,298,400      "
       Dcp Midstream LP      ,         DCP     ,       25.03      ,"       1,290,200      "
       Murphy Oil Corp      ,         MUR     ,       26.52      ,"       1,283,300      "
       B&G Foods Holdings      ,         BGS     ,       18.22      ,"       1,280,900      "
       Bj's Wholesale Club Holdings Inc      ,         BJ     ,       22.76      ,"       1,217,500      "
       Stitch Fix Inc      ,         SFIX     ,       25.42      ,"       1,214,000      "
       Taylor Morrison Home Corp      ,         TMHC     ,       21.98      ,"       1,192,500      "
       Louisiana-Pacific Corp      ,         LPX     ,       29.93      ,"       1,161,500      "
       Nektar Therapeutics      ,         NKTR     ,       21.57      ,"       1,155,400      "
       Wesco International      ,         WCC     ,       59.31      ,"       1,144,900      "
       Axsome Thera      ,         AXSM     ,       101.98      ,"       1,136,900      "
       Epizyme Inc      ,         EPZM     ,       22.62      ,"       1,089,400      "
       Livongo Health Inc      ,         LVGO     ,       24.24      ,"       1,088,600      "
   Name  ,   Symbol  ,   Last  ,   Volume  
